Titulo;Autores;Ano_Publicacao;Revista;Pais;DOI;Tipo_Investigacao;Dimensao_Temporal;Comparacao_Sujeitos;Amostra_Info;Marcadores_Amostra;Processos_Matematicos;Comparacao_Tarefa;Variaveis_Fisiologicas;Variaveis_Psicologicas;Variaveis_Comportamentais;Posicao_Eletrodos;Equipamento;Tecnologia_Eletrodos;Pre_Processamento;Faixas_Frequencia;Software_Analise;Abordagem_Estatistica;Classificacao_ML;Acesso_Dados;Revisor;Notas;Recomendacao
Optimized gamma synchronization enhances functional binding of fronto-parietal cortices in mathematically gifted adolescents during deductive reasoning;Li Zhang, John Q. Gan, and HaixianWang;2014;Frontiers in Human Neuroscience;UK;doi: 10.3389/fnhum.2014.00430;Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);24 participants. Math-gifted group: 11 adolescents (8 males, 3 females), ages 15–18 years old (mean age 16.3 ± 0.6). Control group: 13 adolescents (8 males, 5 females), ages 15–18 years old (mean age 15.9 ± 0.7).;math-gifted, adolescents from a specific school;deductive reasoning, categorical syllogism task of analytic type (verbal-logical way).;baseline resting state and a baseline block of trials that did not require reasoning.;EOG;-;accuracy, reaction time;frontal and parietal cortices. bilateral mastoids;Neuroscan EEG and EOG.;60 scalp electrodes;Band-pass filtering, ERS/ERD, Brainstorm Toolbox, SLORETA, PLV, adjacency matrices, modularity, characteristic path length, clustering coefficient, betweenness centrality, Phase-Locking Intervals (PLI), power-law fitting.;gamma-band (30–60 Hz);Matlab language, Matlab Statistics Toolbox, EEGLAB, Brainstorm Toolbox, OpenMEEG. Scan 4.3, Brainstorm, and Matlab.;One-way ANOVA, Bonferroni Corrections;LDA – Linear Discriminant Analysis;1;Felipe;;
Oscillatory EEG correlates of arithmetic strategies: a training study;Roland H. Grabner and Bert De Smedt;2012;Frontiers in Psychology;Switzerland.;doi: 10.3389/fpsyg.2012.00428;Quase-experimental;Longitudinal;Intra-sujeitos (Within-subjects);20 adult students, 9 males and 11 females, Ranged between 21 and 32 years ol;adult students;arithmetic strategies, fact retrieval for solving arithmetic problems, specifically two-digit multiplication problems.;non-arithmetic figural-spatial task and to a pre-stimulus reference interval (fixation period);EOG;-;Self-reported Strategy Use, Accuracy and time;full 10–20 systems;BioSemi ActiveTwo system and eog equipament;64 channels;Band-pass filtering (0.5–45 Hz), EOG artifact reduction (regression), 3D spline Laplacian, FFT-based FIR filtering, moving window power calculation, ERS/ERD in theta and alpha bands, % change from baseline, cortical area aggregation.;theta (3-6 Hz), lower alpha (8-10 Hz), and upper alpha (10-13 Hz);-;ANOVA, Huynh–Feldt procedure, Effect size measures, t-tests;-;1;Felipe;;
CLASSIFICATION OF VERBAL AND MATHEMATICAL MENTAL OPERATIONS BASED ON THE POWER SPECTRAL DENSITY OF EEG;E.V. CHEMERISOVA, M.S. ATANOV, I.N. MIKHEEV, O.V. MARTYNOVA;2018;Psychology. Journal of the Higher School of Economics.;Russia;DOI: 10.17323/1813-8918-2018-2-268-278;Estudo Metodológico, Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);19 healthy right-handed volunteers participated in the study. All subjects were students or alumni of higher education institutions in Moscow. They were divided into two groups.;students or alumni of higher education institutions. educational background, which was either math or humanities;Simple arithmetic operations: addition, subtraction, fraction, or multiplication. Logical tasks with arithmetic progressions: extending sequences of integers.;verbal tasks (solving anagrams) and to each other (arithmetic vs. logical tasks).;EOG;-;Decision Time (DT), task accuracy, false answers (FA), and the number of unresolved tasks (UT)..;10-20 system;Encephalan from Medikom MTD;21 channels;filtered in the 1-40 Hz band. Eye movement artifacts were removed by linear regression using EOG signals. Muscle and other artifacts were manually cleaned. Segmented into epochs. Absolute values of the power spectral density (PSD) from Fast Fourier Transformation (FFT);5-20 Hz.;Neurobehavioral Systems;ANOVA, Tukey post-hoc comparison, Mann-Whitney U-test, Spearman's rank correlation analysis;ANN (Perceptron without hidden layers);1;Eduarda;;
Theta power reduction and theta–gamma coupling desynchronization are associated with working memory interference and anxiety symptoms in panic disorder: a retrospective study;Ji Seon Ahn, Hye‐Jin Hong, Jee Hang Lee, and Jin Young Park;2024;Ahn et al. BMC Psychiatry;South Korea;https://doi.org/10.1186/s12888-024-06272-3;Observacional / Não-experimental;Retrospectivo;Entre-sujeitos (Between-subjects);68 participants were included in the final analysis, divided into two groups: Panic Disorder (PD) Group: 34 patients diagnosed with PD by experienced psychiatrists using the criteria of the Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders, 5th edition. Healthy Control (HC) Group: 34 age- and sex-matched healthy controls.;Panic Disorder (PD);mental arithmetic (MA);5-minute eyes-closed resting-state (RS) condition.;-;Hamilton Anxiety Scale (HAMA), Hamilton Rating Scale for Depression (HAMD), State-Trait Anxiety Inventory (STAI-S), Perceived Stress Scale (PSS);average accuracy;Frontal: AF4, F2, FCz, Fp2, Fz, FC1, AFz, F1, FP1, AF3, F3, F5, FC5, FC3, F7, FT7, FC4, FC2, FT8, FC6, F8, F6, F4 Temporal: T3, TP7, T5, T4, T6, TP8 Central: C1, C3, CP1, C5, C2, CP2, C4, C6, Cz Parietal: P5, P3, P1, P9, PO3, Pz, POz, PO4, P2, P4, P6 Occipital: O1, Oz, O2 Other: A1, A2;Geodesic EEG system 400;57 recording electrodes. The electrodes used were sponge-based carbon fiber electrodes (Ag/AgCl-coated and carbon-filled plastic electrodes with a sponge).;Theta-gamma coupling (TGC);Theta (4-8 Hz) Gamma (30-50 Hz);Matlab language, EEGLAB toolbox, SPSS version 25.0;Descriptive Statistics, Normality Test, Comparative Analyses between PD patients and HCs, Multiple Comparisons Adjustment, Correlation Analysis, Linear Regression Models;-;2;Eduarda;;
Electrophysiological Brain Response to Error in Solving Mathematical Tasks;Francisco J. Alvarado-Rodríguez, Karla P. Ibarra-González, Cristina Eccius-Wellmann,Hugo Vélez-Pérez and Rebeca Romo-Vázquez;2022;Mathematics;Mexico;https://doi.org/10.3390/math10183294;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);20 healthy engineering students (13 young men, 7 young women);engineering students who scored in the average range (Grade III) on the Raven's Progressive Matrices Test.;arithmetic and algebraic operations;resting baseline;-;-;Response Time, acurracy;center-medial region of the brain. Fp1/2, F3/4, F7/8, C3/4, P3/4, T3/4, T5/6, O1/2, Fz, Cz e Pz;GRASS-COMET brand;19 electrodes;Band-pass filtering (0.5–45 Hz), Blind Source Separation (artifact reduction), 3D spline Laplacian, FFT power spectrum, 1-second windowing (V1–V4), %ERS/ERD in theta and alpha bands, relative energy of delta, theta, alpha, beta bands, cortical area aggregation.;Delta (1-3 Hz) Theta (4-7 Hz) Alpha (8-13 Hz) Beta (14-30 Hz);IBM SPSS Statistics 23;Descriptive analysis, Wilcoxon rank-sum test, two-sided Wilcoxon signed-rank test.;-;1;Eduarda;;
Arithmetic Mental Task of EEG Signal Classification Using Statistical Modeling of The DWT Coefficient;Sk. Md. Ziad Rahman, Israt Tawana, H.M. Raihan Mostafiz, Tanima Tasmin Chowdhury, Celia Shahnaz;2021;International Conference on Computer, Communication, Chemical, Materials and Electronic Engineering;Bangladesh;10.1109/IC4ME253898.2021.9768581;Estudo Metodológico, Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);36 healthy subjects;Bad-counters (n=10):hose who finished the task with a high level of difficulty and required excessive effort. Good-counters (n=26): Those who finished the task with no difficulty.;mental arithmetic tasks, specifically serial subtractions of two numbers.;resting state;-;-;level of difficulty/effort;Anterior Frontal: Fp1, Fp2 Frontal: F3, F4, Fz, F7, F8 Central: C3, C4, Cz Parietal: P3, P4, Pz Occipital: O1, O2 Temporal: T3, T4, T5, T6;Neurocom monopolar device;23 channels (electrodes). Silver or silver chloride (Ag/AgCl) electrodes;Band-pass filtering (0.5–45 Hz), notch filter (50 Hz), DWT using Haar wavelet, data augmentation, dominant channel selection. DWT coefficients and statistical parameters from Gaussian modeling of the coefficients.;Delta (1-3 Hz) Theta (4-7 Hz) Alpha (8-13 Hz) Beta (14-30 Hz);-;Gaussian modeling of DWT coefficients, Bhattacharyya Distance, Geometrical Separability Index (GSI).;SVM, kNN;3;Eduarda;;
Individual Differences in Math Ability Determine Neurocognitive Processing of Arithmetic Complexity: A Combined fNIRS-EEG Study;Christina Artemenko, Mojtaba Soltanlou, Silke M. Bieck, Ann-Christine Ehlis, Thomas Dresler and Hans-Christoph Nuerk;2019;Frontiers in Human Neuroscience;Germany;doi: 10.3389/fnhum.2019.00227;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);34 subjects. High Math Ability Group: 17 participants. Low Math Ability Group: 17 participants;mathematical ability;multiplication and division;inter-trial interval baseline of 4–7 seconds.;EOG;-;Response time (RT), Error rates (ER), Strategy use (via self-report, categorized as arithmetic fact retrieval, counting, decomposition, etc.).;Frontal: FP1, Fz, FP2, AFF7h (instead of F7), AFF3 (instead of F3), Fz, AFF4 (instead of F4), AFF8h (instead of F8) Central: FCC3 (instead of C3), Cz, FCC4 (instead of C4) Temporal: T7, T8 Parietal: TPP7h (instead of P7), CPP3 (instead of P3), Pz, CPP4 (instead of P4), TPP8h (instead of P8) Occipital: O1, Oz, O2;fNIRS-EEG cap (Brain Products GmbH, Herrsching, Germany) and ETG-4000 Optical Topography System;21 scalp electrodes;fNIRS preprocessing: Bandpass filter (0.02–0.25 Hz).Correlation-based signal improvement (CBSI). General linear model approach to get beta values.EEG preprocessing:Re-referenced to average reference. Bandpass filter (0.1–40 Hz). Signal space projections to remove eye movement artifacts.Power spectral density (PSD) for different frequency bands.Event-related synchronization (ERS) and event-related desynchronization (ERD) percentage values.;Theta (4-7 Hz) Lower Alpha (8-10 Hz) Upper Alpha (10-13 Hz);Matlab language Matlab, Brainstorm. SPSS (IBM SPSS Statistics). Presentation software (NeuroBehavioral Systems, Inc.).;ANOVAs, one-sample t-test, paired t-test, independent two-sample t-test, Dubey/Armitage-Parmar correction, Bonferroni correction.;-;2;Eduarda;;
Automatic detection of mental arithmetic task and its difficulty level using EEG signals;Binish Fatimah, Dipro Pramanick and Pranav Shivashankaran;2020;11th International Conference on Computing, Communication and Networking Technologies (ICCCNT);India;10.1109/ICCCNT49239.2020.9225647;Estudo Metodológico, Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);36 subjects;university students, accuracy on a mental arithmetic task;serial subtractions of two numbers;rest state, different difficulty levels within the task itself;-;-;Number of correct arithmetic operations completed per minute.;Anterior Frontal: Fp1, Fp2 Frontal: F3, F4, Fz, F7, F8 Central: C3, C4, Cz Parietal: P3, P4, Pz Occipital: O1, O2 Temporal: T3, T4, T5, T6;Neurocom monopolar device;23 channels silver or silver chloride (Ag/AgCl) electrodes;"High-pass filter (cutoff frequency 0.5 Hz). Low-pass filter (cutoff frequency 45 Hz). Power-line interference removal filter. Energy, Entropy, Mean, and L2 norm calculated for each EEG sub-band rhythm (gamma, beta, alpha, theta, delta); decomposing EEG signals into these five sub-band rhythms using a filter bank.";Delta: less than 4 Hz Theta: 4-8 Hz Alpha: 8-13 Hz Beta: 13-30 Hz Gamma: above 30 Hz;-;"Descriptive analysis for performance and task difficulty;";"Support Vector Machines (SVM); Decision Tree; Quadratic Discriminant Analysis (QDA)";3;Eduarda;;
Mining EEG with SVM for Understanding Cognitive Underpinnings of Math Problem Solving Strategies;Paul Bosch, Mauricio Herrera, Julio López and Sebastián Maldonado;2018;Hindawi Behavioural Neurology;Chile;https://doi.org/10.1155/2018/4638903;Estudo Metodológico, Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects), Grupo Único;14 participants;first-year engineering students;arithmetic and algebraic operations (attribute substitution, intuitive rules, and conceptual metaphors);baseline period of 500 ms before the problem is presented. The main analysis, however, is a direct comparison between brain patterns associated with correct versus incorrect answers.;-;-;Response Time, acurracy;Parietal structures Temporal structures Frontal structures;Geodesic Sensor Net (EGI, USA) 64-channel .;61 sensors (electrodes);Filtered (FIR, band-pass of 1–100 Hz). Re-referenced against the common average reference. Segmented into 1-second epochs. Subtracted the average EEG-evoked activity from the total EEG activity.Correlations between EEG channels, Phase Locking Value (PLV), feature vectors from correlation and synchronization matrices, and most relevant network connections identified by feature selection.;Delta (<4 Hz)Theta (4−8 Hz). Alpha (8−12 Hz) Beta (14−30 Hz). Gamma (30−80 Hz).;Matlab language, Matlab Toolbox: SeDuMi for ξ-SOCP. Matlab Toolbox: LibSVM for standard SVM. Matlab, NS3 software;"Fisher score and RFE-SVM for feature selection; nested 10-fold cross-validation for model evaluation.";Soft-Margin SVM, Twin SVM (TB-SVM), and ξ-Second-Order Cone Programming SVM (ξ-SOCP);1;Eduarda;The paper mentions using code provided by the author of Twin-Bounded SVM.;
Continuous decoding of cognitive load from electroencephalography reveals task-general and task-specific correlates;Matthew J Boring, Karl Ridgeway, Michael Shvartsman and Tanya R Jonker;2020;Journal of Neural Engineering;USA;https://doi.org/10.1088/1741-2552/abb9bc;Estudo Metodológico, Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects), Grupo Único;33 participants;;mental arithmetic, specifically serial summation of three 3-digit numbers.;low-load mental arithmetic condition (adding only the leftmost digit of each number) and to two other tasks: an n-back task and a multi-object tracking (MOT) task. The study also uses a 5-minute resting phase;-;NASA-Task Load Index (TLX);Self-reported mental effort, Response times (RT), Accuracy;specifically mentioning parietal alpha and frontal beta activity;BioSemi ActiCap 64-channel system;64 channels active Ag/AgCl electrodes;EEG preprocessing: re-referencing, bandpass filtering, down-sampling, and artifact removal (ASR). Power Spectral Density (PSD) estimated using Short-Time Fourier Transform (STFT) with sliding windows. Extraction of spectral features (PSD values) over time and channels.;Delta/Theta (1-7 Hz) Alpha (8-12 Hz) Beta (13-30 Hz) Gamma (31-45 Hz);MATLAB language, EEGLAB toolbox, LIBSVM toolbox, R (for statistical analysis);mixed-effects models for behavioral data and SVM performance, ROC analysis to obtain AUC values for SVM classifiers, and parametric bootstrap to compute 95% confidence intervals for model coefficients.;SVMs, k-Nearest Neighbors (kNN), Linear Discriminant Analysis (LDA).;2;Eduarda;;
FREQUENCY AND POWER ANALYSIS OF EEG THETA ACTIVITY DURING DIFFERENT NUMERICAL AND VERBAL TASK IN MALES;Mehmet Cihan;2020;International Journal of Health Services Research and Policy;Turquia;https://doi.org/10.33457/ijhsrp.726453;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);20 healthy medical male students without any health problems were included in the study. average age is 21.15±2.10 years.;medical male students;numerical operations: multiplication, division, addition and subtraction;verbal task (answering general knowledge questions) and to the same task with incorrect answers.;-;-;measure the brain response to seeing a correct vs. an incorrect answer;only mention the left side fo the brain;Biopac MP36 Student Lab system;3 electrodes;Domain measurements: Minimum amplitude value (Min), Maximum amplitude value (Max), Mean aplitude value (Mean), Standard deviation (Std), Skew, Kurtosis and Linear regression (Lin reg). In adicionnal, the Fast Fourier Transformation (FFT) and the Power Spectral Density (PSD) were used.;Only the theta wave frequency band was analyzed in this study.;- Biopac MP36 Student Lab software version 4.1, Statistical Package for Social Sciences version 21.0 (SPSS);Descriptive statistics (Mean ± SD, Median)., Normality tests (Kolmogorov-Smirnov and Shapiro-Wilk), Paired t-test and Wilcoxon matched-pair test;-;1;Eduarda;;
Can Music Support Calculation Skills? A Pilot Study Using Electrophysiological Measures;Nurdan Korkmaza,Özlem Doğan Temurb;2022;IEJEE;Turquia(Kütahya);10.26822/iejee.2022.254;Quase-experimental;Longitudinal;Intra-sujeitos (Within-subjects);4 estudantes voluntários com idade entre 9~11 anos diagnosticados com MLD( Dificuldades de aprendizagem em matemática de nivel leve(20%);Dificuldade de Aprendizagem em Matemática (DAM), alunos da terceira e quarta classes, com idades entre 9 e 11 anos;Cálculo mental , especificamente adição e subtração;;-;-;Acurácia (número de respostas corretas): O total de acertos dos quatro participantes aumentou de 44 no pré-teste para 83 no pós-teste, um aumento descrito no estudo como significativo.;Diferentes partes do escalpo(Montagem nao explicita);EEG 16 canais (Nihon Koden 1200),Neurofax EEG System,MatLab;16 eletrodos, montagem não mencionada no artigo;Cálculo da Densidade de Potência Espectral através do metodo de Welch p/ alfa,beta,theta,delta , uma diminuição na potência Alfa e um aumento na potência Beta foi interpreada como indicativo de maior atividade mental e atenção. O artigo não especifica unidades de medida de potência nem outras métricas.;Análise de frequência na faixa de 1 a 48 Hz. Cálculo da densidade de potência para as bandas Alfa, Beta, Teta e Delta utilizando o método de Welch.;Para a análise do sinal de EEG, o softwareMATLAB. A análise estatística dos dados foi conduzida por meio de uma abordagem descritiva, não especifica software para estatística;.;Análise da Densidade Espectral de Potência (PSD) através do método de Welch. Análise estatística realizada por meio de técnicas descritivas, com comparação dos totais de acertos pré e pós-intervenção.;1;João;O aritgo aborda uma análise bem mais descritiva sobre o experimento não há muita estatística há ser descrita;
